variant,variant_name,rank,experiment,weighted_f1,macro_f1,accuracy,roc_auc,cohen_kappa,top2_accuracy,top3_accuracy,mrr,map
1,Back-translation baseline,best,high_aug,0.3850940348218025,0.369009393510301,0.3866666666666666,0.5439828683289397,0.1506646971935008,0.56,0.8266666666666667,0.6055555555555555,0.6055555555555555
1,Back-translation baseline,worst,real_only,0.208141312338195,0.1962239647145307,0.208695652173913,0.4660721972705688,-0.0439944134078214,0.4695652173913043,0.7565217391304347,0.4956521739130435,0.4956521739130435
2,Base LLM + Lexicon,best,high_aug,0.4451233114647748,0.432149919954798,0.44,0.643969052701921,0.2508917954815695,0.64,0.8,0.6433333333333333,0.6433333333333333
2,Base LLM + Lexicon,worst,moderate_aug,0.2912599681020734,0.287322235513025,0.3,0.5720217363261094,0.0611587982832618,0.54,0.72,0.55,0.55
3,Base LLM + MT,best,synthetic_only,0.4864450556685584,0.4857585254530165,0.4857142857142857,0.7107210171619293,0.3147518694765465,0.6928571428571428,0.85,0.6791666666666667,0.6791666666666667
3,Base LLM + MT,worst,moderate_aug,0.1932952380952381,0.1921428571428571,0.2,0.5433192376837133,-0.0615711252653927,0.58,0.82,0.515,0.515
4,In-language LLM (mT5-LR),best,real_only,0.4280222609368951,0.4236026422764227,0.4266666666666667,0.6541611282574841,0.2348754448398576,0.6533333333333333,0.8,0.6388888888888888,0.6388888888888888
4,In-language LLM (mT5-LR),worst,synthetic_only,0.2551236494597839,0.2538795518207283,0.2571428571428571,0.5973021354816705,0.0138173936602546,0.6142857142857143,0.7857142857142857,0.5464285714285714,0.5464285714285714
5,Seeds + LLM + Lex,best,high_aug,0.5164570887107472,0.5151333219625903,0.52,0.7286154259041789,0.3487698986975398,0.6666666666666666,0.8666666666666667,0.6933333333333334,0.6933333333333334
5,Seeds + LLM + Lex,worst,low_aug,0.1585585585585585,0.1793939393939394,0.1621621621621621,0.3772218540867734,-0.1367690782953416,0.3243243243243243,0.5675675675675675,0.4324324324324324,0.4324324324324324
6,Seeds + LLM + MT,best,synthetic_only,0.4904201947742389,0.4891347529000477,0.4928571428571429,0.7263079465911686,0.3230727322255516,0.7,0.8642857142857143,0.6851190476190476,0.6851190476190476
6,Seeds + LLM + MT,worst,low_aug,0.2370429252782193,0.2426470588235294,0.2432432432432432,0.4641458541458541,0.0123927550047663,0.4864864864864865,0.7297297297297297,0.5135135135135134,0.5135135135135134
7,V5 + QA,best,high_aug,0.5243971565158005,0.4120471689327621,0.5066666666666667,0.6772593176602443,0.2967562088190572,0.6266666666666667,0.88,0.681111111111111,0.681111111111111
7,V5 + QA,worst,low_aug,0.2669511616880038,0.2850250626566415,0.2702702702702703,0.4919480161415644,0.0215475024485799,0.5135135135135135,0.7567567567567568,0.5337837837837837,0.5337837837837837
8,V6 + QA,best,real_only,0.6116752136752137,0.605520990447461,0.6133333333333333,0.8118970986929422,0.4821428571428571,0.76,0.9066666666666666,0.7588888888888888,0.7588888888888888
8,V6 + QA,worst,low_aug,0.1975955888999367,0.1906354515050167,0.2162162162162162,0.5383158508158508,-0.0468292682926829,0.5675675675675675,0.7837837837837838,0.5202702702702702,0.5202702702702702
9,V5 + CoT,best,high_aug,0.4949557109557109,0.4888111888111888,0.4933333333333333,0.7226444176075658,0.3212669683257918,0.6266666666666667,0.8,0.6677777777777777,0.6677777777777777
9,V5 + CoT,worst,low_aug,0.1524550568668215,0.1285350678733031,0.1351351351351351,0.3548097388722389,-0.1483996120271582,0.3783783783783784,0.6756756756756757,0.4369369369369369,0.4369369369369369
10,V6 + CoT,best,real_only,0.5281495405179616,0.4915079365079365,0.5131578947368421,0.6721190458506635,0.3461985584747732,0.6052631578947368,0.8026315789473685,0.6743421052631579,0.6743421052631579
10,V6 + CoT,worst,low_aug,0.1536798336798336,0.1835897435897436,0.1621621621621621,0.4385550167457601,-0.1367690782953419,0.4864864864864865,0.7027027027027027,0.4707207207207206,0.4707207207207206
11,V7 + CoT (full Lex path),best,real_only,0.4932962962962963,0.3881944444444444,0.4666666666666667,0.6647728397853537,0.2276004119464469,0.6533333333333333,0.8666666666666667,0.6644444444444444,0.6644444444444444
11,V7 + CoT (full Lex path),worst,low_aug,0.3082989004041635,0.3180085630743525,0.3243243243243243,0.5357353518643841,0.1198858230256898,0.6216216216216216,0.7837837837837838,0.581081081081081,0.581081081081081
12,V8 + CoT (full MT path),best,high_aug,0.523671497584541,0.3318840579710145,0.48,0.6979910351794127,0.1901993355481728,0.72,0.9333333333333332,0.6877777777777777,0.6877777777777777
12,V8 + CoT (full MT path),worst,low_aug,0.1544791544791544,0.1544011544011544,0.1621621621621621,0.4206932852094142,-0.1201171875,0.3783783783783784,0.6756756756756757,0.4504504504504504,0.4504504504504504
